ANT1,5.21,-15.81,180.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C34,18.71,-12.45,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-15.37,16.09,270.00,1uF,PERFECT_0402_0402
C38,-18.97,8.77,90.00,1uF,PERFECT_0402_0402
C39,-18.96,11.49,270.00,10uF,PERFECT_0402_0402
C4,6.58,-10.52,180.00,1pF,GRM011R60J152KE01L_2_CAPC0201X13N
C42,6.00,13.30,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,5.99,11.48,270.00,4.7uF,PERFECT_0402_0402
C5,-2.93,3.51,0.00,100nF,GRM011R60J152KE01L_2_CAPC0201X13N
C6,-0.08,4.75,90.00,4.7uF,PERFECT_0402_0402
C7,4.24,-6.05,90.00,100nF,GRM011R60J152KE01L_2_CAPC0201X13N
C8,-1.16,4.85,270.00,100nF,GRM011R60J152KE01L_2_CAPC0201X13N
C9,8.99,-1.09,180.00,820pF,GRM011R60J152KE01L_2_CAPC0201X13N
D2,-6.95,-10.28,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-10.22,11.07,180.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-6.22,-14.78,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-12.50,-10.30,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-9.83,4.92,180.00,1uF/50V,PERFECT_0402_0402
EPD_C10,-9.89,-5.14,180.00,1uF/50V,PERFECT_0402_0402
EPD_C11,-9.89,-6.23,180.00,1uF/50V,PERFECT_0402_0402
EPD_C12,-9.86,-7.40,180.00,1uF/50V,PERFECT_0402_0402
EPD_C2,-9.92,5.99,180.00,1uF/50V,PERFECT_0402_0402
EPD_C5,-9.62,2.35,180.00,0.1uF/50V,GRM011R60J152KE01L_2_CAPC0201X13N
EPD_C6,-9.37,0.99,180.00,1uF/50V,PERFECT_0402_0402
EPD_C7,-9.35,-0.55,180.00,1uF/50V,PERFECT_0402_0402
EPD_C8,-9.33,-2.04,180.00,1uF/50V,PERFECT_0402_0402
EPD_C9,-9.89,-3.97,180.00,1uF/50V,PERFECT_0402_0402
IC1,-16.69,13.00,180.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,16.41,-12.62,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,16.86,11.65,180.00,BMA423_BMA423,BMA423_BMA423
IC9,8.41,15.24,180.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400,503480-2400_5034802400
J2,17.59,-2.57,90.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,8.91,0.22,0.00,3.9nH,NORDIC_NRF_2_RESC0201_L
L2,0.98,4.80,90.00,10uH,NORDIC_NRF_2_RESC0201_L
L3,1.94,4.77,270.00,15nH,NORDIC_NRF_2_RESC0201_L
L5,-19.65,-9.85,0.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,9.05,11.63,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,-7.31,-7.00,90.00,"DMG2305UX-7 20V/4.2A/52mΩ/1.4W",ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-16.36,-15.17,270.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,11.00,14.67,270.00,3K3,CPF0201D7K68C1_0201
R18,11.47,9.71,180.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-14.04,-14.11,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,0.74,9.34,90.00,5K1,CPF0201D7K68C1_0201
R2,10.99,15.47,90.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-14.73,-13.86,0.00,10K,CPF0201D7K68C1_0201
R2_USB,-1.48,9.36,90.00,5K1,CPF0201D7K68C1_0201
R3,19.92,12.26,0.00,0,CPF0201D7K68C1_0201
R4,9.74,15.21,90.00,0,CPF0201D7K68C1_0201
R5,-14.17,-15.10,270.00,10K,CPF0201D7K68C1_0201
R7,14.04,-15.10,90.00,10K,CPF0201D7K68C1_0201
R8,-3.01,-14.76,270.00,10K,CPF0201D7K68C1_0201
R9,-16.70,15.22,270.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-6.24,-7.01,180.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-18.75,-15.36,90.00,2.2,CPF0201D7K68C1_0201
SJ1,-19.53,-13.83,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,4.72,-10.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,18.41,8.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-21.12,12.52,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,21.15,8.33,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,19.06,-14.91,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,19.88,-9.68,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,15.31,4.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,13.98,8.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,17.35,16.04,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,18.05,4.61,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,20.97,4.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,9.26,-3.49,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-19.52,14.67,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,13.53,14.36,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,3.66,-0.64,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-10.17,15.13,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,1.24,-11.33,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,-2.90,-0.90,90.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
